Region,Province,Municipality,District,Barangay
Region III,AURORA,MARIA AURORA,Ma. Aurora,VILLA AURORA
Region III,AURORA,MARIA AURORA,Ma. Aurora,SANTO TOMAS
Region III,AURORA,MARIA AURORA,Ma. Aurora,RAMADA
Region III,AURORA,MARIA AURORA,Ma. Aurora,FLORIDA
Region III,AURORA,MARIA AURORA,Ma. Aurora,SANTA LUCIA
Region III,AURORA,MARIA AURORA,Ma. Aurora,BAYANIHAN
Region III,AURORA,MARIA AURORA,Ma. Aurora,BARANGAY II (POB.)
Region III,AURORA,MARIA AURORA,Ma. Aurora,BARANGAY I (POB.)
Region III,AURORA,CASIGURAN,Casiguran,COZO
Region III,AURORA,CASIGURAN,Casiguran,BIANUAN
Region III,AURORA,CASIGURAN,Casiguran,CALABGAN
Region III,AURORA,CASIGURAN,Casiguran,BARANGAY  8 (POB.)
Region III,AURORA,CASIGURAN,Casiguran,DIBACONG
Region III,AURORA,CASIGURAN,Casiguran,DIBET
Region III,AURORA,CASIGURAN,Casiguran,ESTEVES
Region III,AURORA,CASIGURAN,Casiguran,SAN ILDEFONSO
Region III,AURORA,CASIGURAN,Casiguran,ESPERANZA
Region III,AURORA,CASIGURAN,Casiguran,TABAS
Region III,AURORA,CASIGURAN,Casiguran,CULAT
Region III,AURORA,CASIGURAN,Casiguran,LUAL
Region III,AURORA,CASIGURAN,Casiguran,BARANGAY  7 (POB.)
Region III,AURORA,CASIGURAN,Casiguran,BARANGAY  6 (POB.)
Region III,AURORA,CASIGURAN,Casiguran,BARANGAY  1 (POB.)
Region III,AURORA,CASIGURAN,Casiguran,CALANGCUASAN
Region III,AURORA,CASIGURAN,Casiguran,CALANTAS
Region III,AURORA,DILASAG,Dilasag,ESPERANZA
Region III,AURORA,DILASAG,Dilasag,DIAGYAN
Region III,AURORA,DILASAG,Dilasag,DICABASAN
Region III,AURORA,DILASAG,Dilasag,DILAGUIDI
Region III,AURORA,DILASAG,Dilasag,MASAGANA (POB.)
Region III,AURORA,DILASAG,Dilasag,DIMASESET
Region III,AURORA,DILASAG,Dilasag,DINIOG
Region III,AURORA,DILASAG,Dilasag,LAWANG
Region III,AURORA,DILASAG,Dilasag,MANGGITAHAN
Region III,AURORA,DILASAG,Dilasag,URA
Region III,AURORA,DILASAG,Dilasag,MALIGAYA (POB.)
Region III,AURORA,DINALUNGAN,Dinalungan,ABULEG
Region III,AURORA,DINALUNGAN,Dinalungan,DIBARAYBAY
Region III,AURORA,DINALUNGAN,Dinalungan,ZONE II (POB.)
Region III,AURORA,DINALUNGAN,Dinalungan,DITAWINI
Region III,AURORA,DINALUNGAN,Dinalungan,MAPALAD
Region III,AURORA,DINALUNGAN,Dinalungan,NIPOO (BULO)
Region III,AURORA,DINALUNGAN,Dinalungan,PALEG
Region III,AURORA,DINALUNGAN,Dinalungan,SIMBAHAN
Region III,AURORA,DINALUNGAN,Dinalungan,ZONE I (POB.)
Region III,AURORA,DINGALAN,Dingalan,IBONA
Region III,AURORA,DINGALAN,Dingalan,CARAGSACAN
Region III,AURORA,DINGALAN,Dingalan,DIKAPANIKIAN
Region III,AURORA,DINGALAN,Dingalan,POBLACION
Region III,AURORA,DINGALAN,Dingalan,UMIRAY (MALAMIG)
Region III,AURORA,DINGALAN,Dingalan,CABOG (MATAWE)
Region III,AURORA,DINGALAN,Dingalan,PALTIC
Region III,AURORA,DINGALAN,Dingalan,TANAWAN
Region III,AURORA,DINGALAN,Dingalan,BUTAS NA BATO
Region III,AURORA,DIPACULAO,Dipaculao,BAYABAS
Region III,AURORA,DIPACULAO,Dipaculao,BORLONGAN
Region III,AURORA,DIPACULAO,Dipaculao,DIANED
Region III,AURORA,DIPACULAO,Dipaculao,DIARABASIN
Region III,AURORA,DIPACULAO,Dipaculao,DIBUTUNAN
Region III,AURORA,DIPACULAO,Dipaculao,DINADIAWAN
Region III,AURORA,DIPACULAO,Dipaculao,SOUTH POBLACION
Region III,AURORA,DIPACULAO,Dipaculao,DITALE
Region III,AURORA,DIPACULAO,Dipaculao,GUPA
Region III,AURORA,DIPACULAO,Dipaculao,IPIL
Region III,AURORA,DIPACULAO,Dipaculao,LABOY
Region III,AURORA,DIPACULAO,Dipaculao,MALIGAYA
Region III,AURORA,DIPACULAO,Dipaculao,MIJARES
Region III,AURORA,DIPACULAO,Dipaculao,MUCDOL
Region III,AURORA,DIPACULAO,Dipaculao,PUANGI
Region III,AURORA,DIPACULAO,Dipaculao,SALAY
Region III,AURORA,DIPACULAO,Dipaculao,SAPANGKAWAYAN
Region III,AURORA,DIPACULAO,Dipaculao,DIMABUNO
Region III,AURORA,DIPACULAO,Dipaculao,TOYTOYAN
Region III,AURORA,DIPACULAO,Dipaculao,LOBBOT
Region III,AURORA,DIPACULAO,Dipaculao,DIAMANEN
Region III,AURORA,DIPACULAO,Dipaculao,NORTH POBLACION
Region III,AURORA,DIPACULAO,Dipaculao,LIPIT
Region III,AURORA,DIPACULAO,Dipaculao,CALAOCAN
Region III,AURORA,SAN LUIS,San Luis,BACONG
Region III,AURORA,SAN LUIS,San Luis,DIBAYABAY
Region III,AURORA,SAN LUIS,San Luis,DIBUT
Region III,AURORA,SAN LUIS,San Luis,DIKAPINISAN
Region III,AURORA,SAN LUIS,San Luis,DITEKI
Region III,AURORA,SAN LUIS,San Luis,DITUMABO
Region III,AURORA,SAN LUIS,San Luis,DIBALO
Region III,AURORA,SAN LUIS,San Luis,NONONG SENIOR
Region III,AURORA,SAN LUIS,San Luis,L. PIMENTEL
Region III,AURORA,SAN LUIS,San Luis,DIMANAYAT
Region III,AURORA,SAN LUIS,San Luis,REAL
Region III,AURORA,SAN LUIS,San Luis,SAN ISIDRO
Region III,AURORA,SAN LUIS,San Luis,BARANGAY I (POB.)
Region III,AURORA,SAN LUIS,San Luis,ZARAH
Region III,AURORA,SAN LUIS,San Luis,BARANGAY IV (POB.)
Region III,AURORA,SAN LUIS,San Luis,BARANGAY III (POB.)
Region III,BATAAN,ABUCAY,Abucay,LAON (POB.)
Region III,BATAAN,ABUCAY,Abucay,BANGKAL
Region III,BATAAN,ABUCAY,Abucay,CAPITANGAN
Region III,BATAAN,ABUCAY,Abucay,GABON
Region III,BATAAN,ABUCAY,Abucay,CALAYLAYAN (POB.)
Region III,BATAAN,ABUCAY,Abucay,MABATANG
Region III,BATAAN,ABUCAY,Abucay,OMBOY
Region III,BATAAN,ABUCAY,Abucay,SALIAN
Region III,BATAAN,ABUCAY,Abucay,WAWA (POB.)
Region III,BATAAN,BAGAC,Bagac,TABING-ILOG (POB.)
Region III,BATAAN,BAGAC,Bagac,BANAWANG
Region III,BATAAN,BAGAC,Bagac,BINUANGAN
Region III,BATAAN,BAGAC,Bagac,BINUKAWAN
Region III,BATAAN,BAGAC,Bagac,ATILANO L. RICARDO
Region III,BATAAN,BAGAC,Bagac,PARANG
Region III,BATAAN,BAGAC,Bagac,PAYSAWAN
Region III,BATAAN,BAGAC,Bagac,SAN ANTONIO
Region III,BATAAN,BAGAC,Bagac,SAYSAIN
Region III,BATAAN,BAGAC,Bagac,PAG-ASA (WAWA-SIBACAN)
Region III,BATAAN,BAGAC,Bagac,QUINAWAN
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,BAYAN-BAYANAN
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,DAANG BAGO
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,DALAO
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,DEL PILAR (POB.)
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,NEW SAN JOSE
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,OLD SAN JOSE
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,PAGALANGGANG
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,PENTOR
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,PITA
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,SAN SIMON
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,SAPANG BALAS
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,SANTA ISABEL (TABACAN)
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,SANTO NINO
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,RIZAL (POB.)
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,SAN RAMON
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,TUCOP
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,BONIFACIO (POB.)
Region III,BATAAN,DINALUPIHAN,Dinalupihan East,LAYAC
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,BANGAL
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,COLO
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,HAPPY VALLEY
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,"JOSE C. PAYUMO, JR."
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,KATAASAN
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,LUACAN
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,MAGSAYSAY STREET
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,MALIGAYA
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,PAG-ASA
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,PINULOT
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,ROOSEVELT
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,SAGUING
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,SAN BENITO
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,SAN PABLO (BULATE)
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,SAN RAMON
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,NAPARING
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,TUBO-TUBO
Region III,BATAAN,DINALUPIHAN,Dinalupihan West,PAYANGAN
Region III,BATAAN,HERMOSA,Hermosa,ALMACEN
Region III,BATAAN,HERMOSA,Hermosa,BACONG
Region III,BATAAN,HERMOSA,Hermosa,BALSIC
Region III,BATAAN,HERMOSA,Hermosa,BAMBAN
Region III,BATAAN,HERMOSA,Hermosa,PALIHAN
Region III,BATAAN,HERMOSA,Hermosa,CULIS
Region III,BATAAN,HERMOSA,Hermosa,BURGOS-SOLIMAN (POB.)
Region III,BATAAN,HERMOSA,Hermosa,MAMBOG - MANDAMA
Region III,BATAAN,HERMOSA,Hermosa,PANDATUNG
Region III,BATAAN,HERMOSA,Hermosa,MABIGA
Region III,BATAAN,HERMOSA,Hermosa,TIPO
Region III,BATAAN,HERMOSA,Hermosa,JUDGE ROMAN CRUZ  SR. (MANDAMA)
Region III,BATAAN,HERMOSA,Hermosa,MABUCO
Region III,BATAAN,HERMOSA,Hermosa,SAN PEDRO (POB.)
Region III,BATAAN,HERMOSA,Hermosa,SUMALO
Region III,BATAAN,HERMOSA,Hermosa,SABA
Region III,BATAAN,HERMOSA,Hermosa,SACRIFICE VALLEY
Region III,BATAAN,HERMOSA,Hermosa,MAITE
Region III,BATAAN,HERMOSA,Hermosa,PULO
Region III,BATAAN,LIMAY,Limay,ALANGAN
Region III,BATAAN,LIMAY,Limay,LAMAO
Region III,BATAAN,LIMAY,Limay,SAN FRANCISCO DE ASIS
Region III,BATAAN,LIMAY,Limay,DUALE
Region III,BATAAN,LIMAY,Limay,REFORMISTA
Region III,BATAAN,LIMAY,Limay,KITANG I
Region III,BATAAN,LIMAY,Limay,TOWNSITE
Region III,BATAAN,LIMAY,Limay,KITANG 2 & LUZ
Region III,BATAAN,LIMAY,Limay,ST. FRANCIS II
Region III,BATAAN,LIMAY,Limay,POBLACION
Region III,BATAAN,MARIVELES,Mariveles,POBLACION
Region III,BATAAN,MARIVELES,Mariveles,ALAS-ASIN
Region III,BATAAN,MARIVELES,Mariveles,BALON-ANITO
Region III,BATAAN,MARIVELES,Mariveles,BASECO COUNTRY (NASSCO)
Region III,BATAAN,MARIVELES,Mariveles,BATANGAS II
Region III,BATAAN,MARIVELES,Mariveles,MALAYA
Region III,BATAAN,MARIVELES,Mariveles,CABCABEN
Region III,BATAAN,MARIVELES,Mariveles,IPAG
Region III,BATAAN,MARIVELES,Mariveles,ALION
Region III,BATAAN,MARIVELES,Mariveles,SISIMAN
Region III,BATAAN,MARIVELES,Mariveles,BIAAN
Region III,BATAAN,MARIVELES,Mariveles,TOWNSITE
Region III,BATAAN,MARIVELES,Mariveles,MALIGAYA
Region III,BATAAN,MARIVELES,Mariveles,MT. VIEW
Region III,BATAAN,MARIVELES,Mariveles,SAN CARLOS
Region III,BATAAN,MARIVELES,Mariveles,CAMAYA
Region III,BATAAN,MARIVELES,Mariveles,LUCANIN
Region III,BATAAN,MORONG,Morong,BINARITAN
Region III,BATAAN,MORONG,Morong,MABAYO
Region III,BATAAN,MORONG,Morong,POBLACION
Region III,BATAAN,MORONG,Morong,NAGBALAYONG
Region III,BATAAN,MORONG,Morong,SABANG
Region III,BATAAN,ORANI,Orani,BAYAN (POB.)
Region III,BATAAN,ORANI,Orani,KABALUTAN
Region III,BATAAN,ORANI,Orani,KAPARANGAN
Region III,BATAAN,ORANI,Orani,BALUT (POB.)
Region III,BATAAN,ORANI,Orani,PARANG PARANG (POB.)
Region III,BATAAN,ORANI,Orani,PAG-ASA
Region III,BATAAN,ORANI,Orani,PANTALAN BAGO (POB.)
Region III,BATAAN,ORANI,Orani,PANTALAN LUMA (POB.)
Region III,BATAAN,ORANI,Orani,BAGONG PARAISO (POB.)
Region III,BATAAN,ORANI,Orani,SIBUL
Region III,BATAAN,ORANI,Orani,TALA
Region III,BATAAN,ORANI,Orani,TALIMUNDOC
Region III,BATAAN,ORANI,Orani,TAPULAO
Region III,BATAAN,ORANI,Orani,TUGATOG
Region III,BATAAN,ORANI,Orani,MULAWIN
Region III,BATAAN,ORANI,Orani,APOLLO
Region III,BATAAN,ORANI,Orani,DONA
Region III,BATAAN,ORION,Orion,BANTAN
Region III,BATAAN,ORION,Orion,BILOLO
Region III,BATAAN,ORION,Orion,CALUNGUSAN
Region III,BATAAN,ORION,Orion,CAMACHILE
Region III,BATAAN,ORION,Orion,KAPUNITAN
Region III,BATAAN,ORION,Orion,DAANG PARE
Region III,BATAAN,ORION,Orion,GENERAL LIM (KAPUT)
Region III,BATAAN,ORION,Orion,DAANG BILOLO (POB.)
Region III,BATAAN,ORION,Orion,WAWA (POB.)
Region III,BATAAN,ORION,Orion,PUTING BUHANGIN
Region III,BATAAN,ORION,Orion,SABATAN
Region III,BATAAN,ORION,Orion,SANTA ELENA
Region III,BATAAN,ORION,Orion,SANTO DOMINGO
Region III,BATAAN,ORION,Orion,DAANG BAGO (POB.)
Region III,BATAAN,ORION,Orion,BALAGTAS (POB.)
Region III,BATAAN,ORION,Orion,WAKAS (POB.)
Region III,BATAAN,ORION,Orion,SAN VICENTE (POB.)
Region III,BATAAN,PILAR,Pilar,ALA-ULI
Region III,BATAAN,PILAR,Pilar,BAGUMBAYAN
Region III,BATAAN,PILAR,Pilar,BALUT I
Region III,BATAAN,PILAR,Pilar,DIWA
Region III,BATAAN,PILAR,Pilar,WAWA
Region III,BATAAN,PILAR,Pilar,LIYANG
Region III,BATAAN,PILAR,Pilar,NAGWALING
Region III,BATAAN,PILAR,Pilar,PANILAO
Region III,BATAAN,PILAR,Pilar,PANTINGAN
Region III,BATAAN,PILAR,Pilar,POBLACION
Region III,BATAAN,PILAR,Pilar,SANTA ROSA
Region III,BATAAN,PILAR,Pilar,WAKAS SOUTH
Region III,BATAAN,SAMAL,Samal,GUGO
Region III,BATAAN,SAMAL,Samal,WEST CALAGUIMAN (POB.)
Region III,BATAAN,SAMAL,Samal,IMELDA
Region III,BATAAN,SAMAL,Samal,LALAWIGAN
Region III,BATAAN,SAMAL,Samal,SAN JUAN (POB.)
Region III,BATAAN,SAMAL,Samal,SANTA LUCIA
Region III,BATAAN,SAMAL,Samal,SAPA
Region III,BATAAN,SAMAL,Samal,IBABA (POB.)
Region III,BATAAN,SAMAL,Samal,SAN ROQUE (POB.)
Region III,BATAAN,SAMAL,Samal,PALILI
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,TALISAY
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,PTO. RIVAS ITAAS
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,PTO. RIVAS IBABA
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,SIBACAN
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,MUNTING BATANGAS (CADRE)
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,CAMACHO
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,BAGUMBAYAN
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,BAGONG SILANG
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,IBAYO
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,CENTRAL
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,SAN JOSE
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,DOÃ‘A FRANCISCA
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,POBLACION
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,CUPANG PROPER
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,LOTE
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,TUYO
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City East,TORTUGAS
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,BAGONG SILANG
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,CENTRAL
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,DANGCOL (BERNABE)
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,CUPANG PROPER
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,CATANING
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,CABOG-CABOG
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,TENEJERO
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,TANATO
Region III,BATAAN,CITY OF BALANGA (Capital),Balanga City West,SAN JOSE
Region III,BULACAN,ANGAT,Angat,SAN ROQUE (POB.)
Region III,BULACAN,ANGAT,Angat,BANABAN
Region III,BULACAN,ANGAT,Angat,BAYBAY
Region III,BULACAN,ANGAT,Angat,LAOG
Region III,BULACAN,ANGAT,Angat,NIUGAN
Region III,BULACAN,ANGAT,Angat,DONACION
Region III,BULACAN,ANGAT,Angat,MARUNGKO
Region III,BULACAN,ANGAT,Angat,BINAGBAG
Region III,BULACAN,ANGAT,Angat,ENCANTO
Region III,BULACAN,ANGAT,Angat,PALTOK
Region III,BULACAN,ANGAT,Angat,PULONG YANTOK
Region III,BULACAN,ANGAT,Angat,SANTA LUCIA
Region III,BULACAN,ANGAT,Angat,SULUCAN
Region III,BULACAN,ANGAT,Angat,TABOC
Region III,BULACAN,ANGAT,Angat,SANTA CRUZ (POB.)
Region III,BULACAN,ANGAT,Angat,SANTO CRISTO (POB.)
Region III,BULACAN,BALIUAG,Angat,POBLACION
Region III,BULACAN,BALIUAG,Baliuag North,POBLACION
Region III,BULACAN,BALIUAG,Baliuag North,CATULINAN
Region III,BULACAN,BALIUAG,Baliuag North,BARANGCA
Region III,BULACAN,BALIUAG,Baliuag North,PIEL
Region III,BULACAN,BALIUAG,Baliuag North,TIBAG
Region III,BULACAN,BALIUAG,Baliuag North,HINUKAY
Region III,BULACAN,BALIUAG,Baliuag North,TANGOS
Region III,BULACAN,BALIUAG,Baliuag North,SAN ROQUE
Region III,BULACAN,BALIUAG,Baliuag North,PAITAN
Region III,BULACAN,BALIUAG,Baliuag North,SABANG
Region III,BULACAN,BALIUAG,Baliuag North,SUBIC
Region III,BULACAN,BALIUAG,Baliuag North,TILAPAYONG
Region III,BULACAN,BALIUAG,Baliuag North,BAGONG NAYON
Region III,BULACAN,BALIUAG,Baliuag North,SULIVAN
Region III,BULACAN,BALIUAG,Baliuag North,SANTO NINO
Region III,BULACAN,BALIUAG,Baliuag North,TARCAN
Region III,BULACAN,BALIUAG,Baliuag North,MAKINABANG
Region III,BULACAN,BALIUAG,Baliuag North,PAGALA
Region III,BULACAN,BALIUAG,Baliuag North,VIRGEN DELAS FLORES
Region III,BULACAN,BALIUAG,Baliuag South,SANTO CRISTO
Region III,BULACAN,BALIUAG,Baliuag South,CALANTIPAY
Region III,BULACAN,BALIUAG,Baliuag South,CONCEPCION
Region III,BULACAN,BALIUAG,Baliuag South,MAKINABANG
Region III,BULACAN,BALIUAG,Baliuag South,MATANGTUBIG
Region III,BULACAN,BALIUAG,Baliuag South,PINAGBARILAN
Region III,BULACAN,BALIUAG,Baliuag South,SAN JOSE
Region III,BULACAN,BALIUAG,Baliuag South,SANTA BARBARA
Region III,BULACAN,BALIUAG,Baliuag South,TARCAN
Region III,BULACAN,BALIUAG,Baliuag South,TIAONG
Region III,BULACAN,BALIUAG,Baliuag South,VIRGEN DELAS FLORES
Region III,BULACAN,BALIUAG,Baliuag South,BAGONG NAYON
Region III,BULACAN,BALIUAG,Baliuag South,POBLACION
Region III,BULACAN,SANTA MARIA,Angat,POBLACION
Region III,BULACAN,SANTA MARIA,Sta. Maria,BAGBAGUIN
Region III,BULACAN,SANTA MARIA,Sta. Maria,BALASING
Region III,BULACAN,SANTA MARIA,Sta. Maria,BUENAVISTA
Region III,BULACAN,SANTA MARIA,Sta. Maria,PULONG BUHANGIN
Region III,BULACAN,SANTA MARIA,Sta. Maria,CAMANGYANAN
Region III,BULACAN,SANTA MARIA,Sta. Maria,CAYSIO
Region III,BULACAN,SANTA MARIA,Sta. Maria,GUYONG
Region III,BULACAN,SANTA MARIA,Sta. Maria,CATMON
Region III,BULACAN,SANTA MARIA,Sta. Maria,LALAKHAN
Region III,BULACAN,SANTA MARIA,Sta. Maria,MAHABANG PARANG
Region III,BULACAN,SANTA MARIA,Sta. Maria,MAG-ASAWANG SAPA
Region III,BULACAN,SANTA MARIA,Sta. Maria,BULAC
Region III,BULACAN,SANTA MARIA,Sta. Maria,PARADA
Region III,BULACAN,SANTA MARIA,Sta. Maria,SAN GABRIEL
Region III,BULACAN,SANTA MARIA,Sta. Maria,SAN JOSE PATAG
Region III,BULACAN,SANTA MARIA,Sta. Maria,SAN VICENTE
Region III,BULACAN,SANTA MARIA,Sta. Maria,SILANGAN
Region III,BULACAN,SANTA MARIA,Sta. Maria,SANTA CLARA
Region III,BULACAN,SANTA MARIA,Sta. Maria,SANTA CRUZ
Region III,BULACAN,SANTA MARIA,Sta. Maria,POBLACION
Region III,BULACAN,SANTA MARIA,Sta. Maria,TABING BAKOD
Region III,BULACAN,SANTA MARIA,Sta. Maria,TUMANA
Region III,BULACAN,SANTA MARIA,Sta. Maria,MANGGAHAN
Region III,BULACAN,SANTA MARIA,Sta. Maria,CAY POMBO
Region III,BULACAN,GUIGUINTO,Angat,SANTA RITA
Region III,BULACAN,GUIGUINTO,Guiguinto,CUTCUT
Region III,BULACAN,GUIGUINTO,Guiguinto,DAUNGAN
Region III,BULACAN,GUIGUINTO,Guiguinto,SANTA RITA
Region III,BULACAN,GUIGUINTO,Guiguinto,POBLACION
Region III,BULACAN,GUIGUINTO,Guiguinto,MALIS
Region III,BULACAN,GUIGUINTO,Guiguinto,PRITIL
Region III,BULACAN,GUIGUINTO,Guiguinto,PULONG GUBAT
Region III,BULACAN,GUIGUINTO,Guiguinto,SANTA CRUZ
Region III,BULACAN,GUIGUINTO,Guiguinto,TABANG
Region III,BULACAN,GUIGUINTO,Guiguinto,TABE
Region III,BULACAN,GUIGUINTO,Guiguinto,TIAONG
Region III,BULACAN,GUIGUINTO,Guiguinto,TUKTUKAN
Region III,BULACAN,SAN ILDEFONSO,Angat,MAKAPILAPIL
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,ANYATAM
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,BUBULONG MALAKI
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,BUBULONG MUNTI
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,BUHOL NA MANGGA
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,BULUSUKAN
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,CALASAG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,CALAWITAN
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,GARLANG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,LAPNIT
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,MAKAPILAPIL
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,MATAAS NA PARANG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,NABAONG GARLANG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,PULONG TAMO
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,POBLACION
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,SAN JUAN
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,SANTA CATALINA BATA
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,SUMANDIG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,TELEPATIO
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso North,UMPUCAN
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,AKLE
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,BAGONG BARRIO
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,BASUIT
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,CASALAT
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,GABIHAN
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,MAASIM
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,MATIMBUBONG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,PALAPALA
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,PASONG BANGKAL
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,PINAOD
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,SAPANG DAYAP
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,SAPANG PUTIK
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,UPIG
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,ALAGAO
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,POBLACION
Region III,BULACAN,SAN ILDEFONSO,San Ildefonso South,SAPANG PUTOL
Region III,BULACAN,SAN MIGUEL,Angat,SALANGAN
Region III,BULACAN,SAN MIGUEL,San Miguel North,BANTOG
Region III,BULACAN,SAN MIGUEL,San Miguel North,BARDIAS
Region III,BULACAN,SAN MIGUEL,San Miguel North,BUGA
Region III,BULACAN,SAN MIGUEL,San Miguel North,BULIRAN
Region III,BULACAN,SAN MIGUEL,San Miguel North,BULUALTO
Region III,BULACAN,SAN MIGUEL,San Miguel North,CALUMPANG
Region III,BULACAN,SAN MIGUEL,San Miguel North,CAMIAS
Region III,BULACAN,SAN MIGUEL,San Miguel North,KING KABAYO
Region III,BULACAN,SAN MIGUEL,San Miguel North,LAMBAKIN
Region III,BULACAN,SAN MIGUEL,San Miguel North,MALIBAY
Region III,BULACAN,SAN MIGUEL,San Miguel North,MALIGAYA
Region III,BULACAN,SAN MIGUEL,San Miguel North,PARTIDA
Region III,BULACAN,SAN MIGUEL,San Miguel North,PINAMBARAN
Region III,BULACAN,SAN MIGUEL,San Miguel North,PULONG DUHAT
Region III,BULACAN,SAN MIGUEL,San Miguel North,SACDALAN
Region III,BULACAN,SAN MIGUEL,San Miguel North,SAPANG
