Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region IV-A,Rizal,San Mateo,301458,San Mateo National High School,491 GSIS ROAD,RIZAL,SAN MATEO,2nd District,GUITNANG BAYAN I (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,561,566,653,628,500,562,657,670,0,0,0,2408,2389,4797
Region IV-A,Rizal,San Mateo,301460,Jose F. Diaz Memorial National High School (Sto. Niño NHS),"Rosal St., Vista Hermosa",RIZAL,SAN MATEO,2nd District,GULOD MALAYA,Public,DepED Managed,School with no Annexes,Purely JHS,139,165,176,148,121,138,157,160,0,0,0,628,576,1204
Region IV-A,Rizal,San Mateo,308126,Ampid National High School,P. Salamat Extension,RIZAL,SAN MATEO,2nd District,AMPID II,Public,DepED Managed,School with no Annexes,Purely JHS,249,232,294,264,209,211,254,248,0,0,0,1039,922,1961
Region IV-A,Rizal,San Mateo,308139,Guinayang National High School,Jurado Comp. Brgy. Guinayang,RIZAL,SAN MATEO,2nd District,GUINAYANG,Public,DepED Managed,School with no Annexes,Purely JHS,207,232,215,220,171,203,176,204,0,0,0,874,754,1628
Region IV-A,Rizal,Tanay I,301464,Tanay National High School,Sampaloc Road,RIZAL,TANAY,2nd District,PLAZA ALDEA (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,295,276,322,328,236,304,319,357,8,8,16,1229,1224,2453
Region IV-A,Rizal,Tanay I,306264,Tanay National Science High School,"Sampaloc Road, Brgy. Plaza Aldea, Tanay, Rizal",RIZAL,TANAY,2nd District,PLAZA ALDEA (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,21,0,0,0,24,0,0,0,0,0,0,21,24,45
Region IV-A,Rizal,Tanay I,308117,Marciana P. Catolos  National High School,M. L. Quezon St.,RIZAL,TANAY,2nd District,KAYBUTO (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,106,101,112,118,77,94,137,102,0,0,0,437,410,847
Region IV-A,Rizal,Tanay I,308141,Tanay North National High School,Pantay PinugayRoad Sitio Dalawang Kawayan,RIZAL,TANAY,2nd District,TANDANG KUTYO (POB.),Public,DepED Managed,Mother school,Purely JHS,43,49,46,36,46,38,41,44,0,0,0,174,169,343
Region IV-A,Rizal,Tanay I,308142,Aldea National High School,0023 Block 10 Southville 10,RIZAL,TANAY,2nd District,PLAZA ALDEA (POB.),Public,DepED Managed,Mother school,Purely JHS,95,83,84,107,72,106,95,94,0,0,0,369,367,736
Region IV-A,Rizal,Taytay I,308116,"Casimiro A. Ynares, Sr. Memorial National High School",Cabrera Road,RIZAL,TAYTAY,1st District,DOLORES (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,425,441,520,561,437,463,606,579,5,1,6,1952,2086,4038
Region IV-A,Rizal,Taytay I,308130,Simona National High School,MORNING GLORY ST. SITIO SIMONA SUBD. BGRY. SAN ISIDRO,RIZAL,TAYTAY,1st District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,75,96,96,111,53,71,80,82,0,0,0,378,286,664
Region IV-A,Rizal,Taytay II,301465,Taytay National High School,"Zloty St., Meralco Village",RIZAL,TAYTAY,1st District,SAN JUAN,Public,DepED Managed,School with no Annexes,Purely JHS,300,255,289,301,218,249,279,288,0,0,0,1145,1034,2179
Region IV-A,Rizal,Taytay II,308129,Muzon National High School,Sapphire St. Ciudad Grande,RIZAL,TAYTAY,1st District,MUZON,Public,DepED Managed,School with no Annexes,Purely JHS,312,346,363,297,251,302,322,314,0,0,0,1318,1189,2507
Region IV-A,Rizal,Cainta II,301444,"Gov. Isidro Rodriguez, Sr. Memorial National High School","Resurrection St. , St. Gregory Subdivision",RIZAL,CAINTA,1st District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,154,172,193,186,150,163,188,168,2,4,6,707,673,1380
Region IV-A,Rizal,Rodriguez II,301441,Macabud National High School,Proper 2,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,MACABUD,Public,DepED Managed,School with no Annexes,Purely JHS,66,64,79,73,63,44,61,71,0,0,0,282,239,521
Region IV-A,Rizal,Rodriguez II,301446,Kasiglahan Village National High School,San Jose Plains,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely JHS,604,688,791,804,513,728,734,771,0,0,0,2887,2746,5633
Region IV-A,Rizal,Rodriguez II,301449,Mascap National High School,Mascap,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,MASCAP,Public,DepED Managed,Mother school,Purely JHS,46,42,29,44,30,33,39,42,0,0,0,161,144,305
Region IV-A,Rizal,Rodriguez II,301451,Montalban Heights National High School,Villa Anna Maria Subdivision,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely JHS,156,162,166,153,139,172,182,183,0,0,0,637,676,1313
Region IV-A,Rizal,Rodriguez II,308106,San Isidro National High School,"Sitio Tanag,San Isidro",RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,451,483,586,541,419,458,508,542,0,0,0,2061,1927,3988
Region IV-A,Rizal,Rodriguez II,308107,Mascap National High School-Puray Annex,Sitio Bagong Sigla,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,PURAY,Public,DepED Managed,Annex or Extension school(s),Purely JHS,24,19,18,25,19,26,24,29,0,0,0,86,98,184
Region IV-A,Rizal,Rodriguez II,308114,Tagumpay National High School,Tagumpay Compound,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN JOSE,Public,DepED Managed,School with no Annexes,Purely JHS,268,304,334,310,245,292,320,293,0,0,0,1216,1150,2366
Region IV-A,Rizal,Rodriguez II,308122,Manggahan National High School,"Millex Road Manggahan Rod., Rizal",RIZAL,RODRIGUEZ (MONTALBAN),2nd District,MANGGAHAN,Public,DepED Managed,School with no Annexes,Purely JHS,93,96,123,92,72,95,98,87,0,0,0,404,352,756
Region IV-A,Rizal,Rodriguez II,308134,Southville 8B National High School,Block 52 Lot 1 Phase 1 Southville 8B,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,266,298,331,291,214,302,298,307,0,0,0,1186,1121,2307
Region IV-A,Rizal,Rodriguez II,308135,Southville 8C National High School,Blk 12 Lot 36 Ph 1N Southville 8c San Isidro,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,196,227,264,261,181,212,230,225,0,0,0,948,848,1796
Region IV-A,Rizal,Rodriguez II,308137,Macaingalan HS,Sitio Macaingalan,RIZAL,RODRIGUEZ (MONTALBAN),2nd District,PURAY,Public,DepED Managed,Mother school,Purely JHS,10,10,13,18,14,14,12,13,0,0,0,51,53,104
Region IV-A,Rizal,Binangonan III,308119,Guronasyon Foundation Inc. National High School,"National  Rd. Bilibiran, Binangonan, Rizal",RIZAL,BINANGONAN,1st District,BILIBIRAN,Public,DepED Managed,School with no Annexes,Purely JHS,261,314,299,315,284,313,330,301,18,8,26,1207,1236,2443
Region IV-A,Rizal,Binangonan III,308136,Pag-asa National High School,Victoria Village,RIZAL,BINANGONAN,1st District,PAG-ASA,Public,DepED Managed,School with no Annexes,Purely JHS,120,151,178,158,115,150,130,162,0,0,0,607,557,1164
Region IV-A,Rizal,Baras,301429,Baras National High School,Sitio Malalim,RIZAL,BARAS,2nd District,SAN JUAN,Public,DepED Managed,School with no Annexes,Purely JHS,170,152,167,164,138,129,140,148,0,0,0,653,555,1208
Region IV-A,Rizal,Baras,304798,Baras-Pinugay Phase 2 National High School,Southville 9 Phase 2,RIZAL,BARAS,2nd District,PINUGAY,Public,DepED Managed,School with no Annexes,Purely JHS,246,212,223,210,217,187,219,207,0,0,0,891,830,1721
Region IV-A,Rizal,Tanay II,308127,Cuyambay National High School,Sitio Tablon,RIZAL,TANAY,2nd District,CUYAMBAY,Public,DepED Managed,Annex or Extension school(s),Purely JHS,39,44,37,44,52,48,63,39,0,0,0,164,202,366
Region IV-A,Batangas City,Batangas City New District,308204,Libjo National High School,Libjo Tacad,BATANGAS,BATANGAS CITY (Capital),2nd District,LIBJO,Public,DepED Managed,School with no Annexes,Purely JHS,192,238,226,240,165,225,241,217,0,0,0,896,848,1744
Region IV-A,Batangas City,Batangas City South District,301480,STO. NIÑO NATIONAL HIGH SCHOOL,"Sto. Nino, Batangas City",BATANGAS,BATANGAS CITY (Capital),2nd District,SANTO NINO,Public,DepED Managed,School with no Annexes,Purely JHS,73,57,57,98,49,62,70,73,0,0,0,285,254,539
Region IV-A,Batangas City,Batangas City South District,305790,Haligue Silangan National High School,`,BATANGAS,BATANGAS CITY (Capital),2nd District,HALIGUE SILANGAN,Public,DepED Managed,School with no Annexes,Purely JHS,25,28,32,30,14,25,23,27,0,0,0,115,89,204
Region IV-A,Batangas City,Batangas City West District,308203,Sta. Rita NHS,"Salvador Street Sta. Rita Karsada, Batangas City",BATANGAS,BATANGAS CITY (Capital),2nd District,SANTA RITA APLAYA,Public,DepED Managed,School with no Annexes,Purely JHS,151,187,210,183,89,168,189,165,0,0,0,731,611,1342
Region IV-A,Batangas City,Batangas City Coastal District,301482,Talahib Pandayan NHS,Talahib Pandayan,BATANGAS,BATANGAS CITY (Capital),2nd District,TALAHIB PANDAYAN,Public,DepED Managed,School with no Annexes,Purely JHS,28,26,37,21,30,25,28,26,0,0,0,112,109,221
Region IV-A,Batangas City,Batangas City Coastal District,305558,Malitam National High School,Malitam,BATANGAS,BATANGAS CITY (Capital),2nd District,MALITAM,Public,DepED Managed,School with no Annexes,Purely JHS,63,62,59,59,60,61,68,78,0,0,0,243,267,510
Region IV-A,Batangas City,Batangas City Coastal District,305699,Batangas City High School for the Arts,Rizal Avenue,BATANGAS,BATANGAS CITY (Capital),2nd District,BARANGAY 20 (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,16,18,14,13,18,17,24,19,0,0,0,61,78,139
Region IV-A,Batangas City,Batangas City Verde Island District,301478,San Antonio NHS,"San Antonio, Isla Verde",BATANGAS,BATANGAS CITY (Capital),2nd District,"SAN ANTONIO, ISLA VERDE",Public,DepED Managed,School with no Annexes,Purely JHS,11,9,15,14,11,13,16,11,0,0,0,49,51,100
Region IV-A,Lipa City,Lipa City North Disrict,305559,Plaridel National High School,Purok 3,BATANGAS,LIPA CITY,4th District,PLARIDEL,Public,DepED Managed,School with no Annexes,Purely JHS,82,92,101,84,63,70,75,80,0,0,0,359,288,647
Region IV-A,Lipa City,Lipa City West District,301493,Lipa City National High School,"B. Morada Ave., Old City Hall Compound",BATANGAS,LIPA CITY,4th District,POBLACION BARANGAY 2,Public,DepED Managed,School with no Annexes,Purely JHS,180,236,255,269,165,225,242,276,0,0,0,940,908,1848
Region IV-A,Lucena City,Lucena East District,308507,Lucena Dalahican National High School - Barra Annex,"Purok 1, Barangay Barra, Lucena City",QUEZON,LUCENA CITY (Capital),2nd District,BARRA,Public,DepED Managed,Annex or Extension school(s),Purely JHS,47,48,51,45,49,47,40,49,0,0,0,191,185,376
Region IV-A,Lucena City,Lucena East District,308508,Lucena City National High School - Mayao Crossing Extension,"Barangay Mayao Crossing, Lucena City",QUEZON,LUCENA CITY (Capital),2nd District,MAYAO CROSSING,Public,DepED Managed,Annex or Extension school(s),Purely JHS,71,52,78,68,34,57,63,49,0,0,0,269,203,472
Region IV-A,Lucena City,Lucena North District,308509,Lucena City National High School - Ilayang Dupay Extension,"Brgy. Ilayang Dupay, Lucena City",QUEZON,LUCENA CITY (Capital),2nd District,ILAYANG DUPAY,Public,DepED Managed,Annex or Extension school(s),Purely JHS,17,22,25,20,17,13,10,23,0,0,0,84,63,147
Region IV-A,Lucena City,Lucena West District,306094,Napoleon Ravanzo National High School,"Purok 2, Brgy. Bocohan",QUEZON,LUCENA CITY (Capital),2nd District,BOCOHAN,Public,DepED Managed,School with no Annexes,Purely JHS,44,63,47,38,32,42,44,54,0,0,0,192,172,364
Region IV-A,San Pablo City,Del Remedio,301506,Del Remedio National High School,Camia St. Patria Village,LAGUNA,SAN PABLO CITY,3rd District,DEL REMEDIO,Public,DepED Managed,School with no Annexes,Purely JHS,139,106,126,121,101,96,105,102,0,0,0,492,404,896
Region IV-A,San Pablo City,Del Remedio,308606,Prudencia D. Fule Memorial National High School,Brgy. San Nicolas,LAGUNA,SAN PABLO CITY,3rd District,SAN NICOLAS,Public,DepED Managed,School with no Annexes,Purely JHS,120,141,170,135,156,130,142,152,0,0,0,566,580,1146
Region IV-A,San Pablo City,San Francisco,308603,San Isidro National High School,Purok 2,LAGUNA,SAN PABLO CITY,3rd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,30,44,40,44,29,35,44,33,0,0,0,158,141,299
Region IV-A,San Pablo City,Sto. Angel,301507,Dolores National High School,Brgy. Dolores,LAGUNA,SAN PABLO CITY,3rd District,DOLORES,Public,DepED Managed,School with no Annexes,Purely JHS,71,69,78,67,64,82,68,57,0,0,0,285,271,556
Region IV-A,San Pablo City,Sto. Angel,301510,Sto. Angel National High School,Brgy. Sto. Angel,LAGUNA,SAN PABLO CITY,3rd District,SANTO ANGEL,Public,DepED Managed,School with no Annexes,Purely JHS,98,111,100,114,78,84,98,98,0,0,0,423,358,781
Region IV-A,Calamba City,Calamba City East I,301527,Castor Alviar NHS,"Sgt. Alviar St. Brgy. Masili, Calamba City, Laguna",LAGUNA,CITY OF CALAMBA,2nd District,MASILI,Public,DepED Managed,School with no Annexes,Purely JHS,154,133,138,138,114,157,145,144,0,0,0,563,560,1123
Region IV-A,Calamba City,Calamba City East II,308703,San Cristobal National High School,Purok 5B,LAGUNA,CITY OF CALAMBA,2nd District,SAN CRISTOBAL,Public,DepED Managed,Annex or Extension school(s),Purely JHS,159,163,205,203,167,188,177,169,0,0,0,730,701,1431
Region IV-A,Calamba City,Calamba City West,301513,Buntog National High School,"Sitio Buntog, Canlubang, Calamba City",LAGUNA,CITY OF CALAMBA,2nd District,CANLUBANG,Public,DepED Managed,School with no Annexes,Purely JHS,12,14,11,11,12,8,13,14,0,0,0,48,47,95
Region IV-A,Calamba City,Calamba City West,301520,Mabato NHS,"Mabato, Calamba City",LAGUNA,CITY OF CALAMBA,2nd District,MABATO,Public,DepED Managed,Mother school,Purely JHS,8,9,9,9,6,11,3,7,0,0,0,35,27,62
Region IV-A,Calamba City,Calamba City West,403358,"Rizal Institute Canlubang Foundation, Inc.",Canlubang,LAGUNA,CITY OF CALAMBA,2nd District,CANLUBANG,Private,Non-Sectarian ,School with no Annexes,Purely JHS,6,5,14,25,5,0,0,0,0,0,0,50,5,55
Region IV-A,Antipolo City,District I-A,301418,Antipolo National High School,"Sitio Upper Sto. Niño, Olalia Road",RIZAL,CITY OF ANTIPOLO,1st District,SANTA CRUZ,Public,DepED Managed,School with no Annexes,Purely JHS,1460,1624,1619,1506,1377,1535,1453,1564,0,0,0,6209,5929,12138
Region IV-A,Antipolo City,District I-A,402960,Sta. Clara International Academy,"#2 Road 7 corner Road 1 Phase IV, COGEO Village",RIZAL,CITY OF ANTIPOLO,1st District,BAGONG NAYON,Private,Non-Sectarian ,School with no Annexes,Purely JHS,12,8,15,15,8,5,10,5,0,0,0,50,28,78
Region IV-A,Antipolo City,District II-A,494113,"La Salle College Antipolo Foundation, Inc. - Night High School","#1985 La Salle Avenue, Town & Country Heights",RIZAL,CITY OF ANTIPOLO,2nd District,SAN LUIS,Private,Non-Sectarian ,School with no Annexes,Purely JHS,23,20,19,16,22,15,19,26,0,0,0,78,82,160
Region IV-A,Antipolo City,District I-C,301448,Mambugan National High School,"Ruhat Hills, Mambugan, Antipolo City",RIZAL,CITY OF ANTIPOLO,1st District,MAMBUGAN,Public,DepED Managed,School with no Annexes,Purely JHS,625,677,647,615,515,582,662,596,0,0,0,2564,2355,4919
Region IV-A,Antipolo City,District II-D,301420,Cupang National High School,"Our Lady of Peace Subdivision, Purok 2 Zone 8",RIZAL,CITY OF ANTIPOLO,2nd District,CUPANG,Public,DepED Managed,School with no Annexes,Purely JHS,280,332,327,274,280,283,298,284,0,0,0,1213,1145,2358
Region IV-A,Tanauan City,Tanauan City East I,301075,Banjo Laurel NHS,"Banjo West, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,BANJO LAUREL (BANJO WEST),Public,DepED Managed,School with no Annexes,Purely JHS,30,29,47,41,33,32,29,32,0,0,0,147,126,273
Region IV-A,Tanauan City,Tanauan City East I,301084,Bernardo Lirio Memorial National High School,"Darasa, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,DARASA,Public,DepED Managed,School with no Annexes,Purely JHS,255,303,338,349,258,311,332,362,0,0,0,1245,1263,2508
Region IV-A,Tanauan City,Tanauan City South I,301128,Natatas NHS,"NATATAS, TANAUAN CITY",BATANGAS,CITY OF TANAUAN,3rd District,NATATAS,Public,DepED Managed,School with no Annexes,Purely JHS,64,72,57,77,63,88,66,86,0,0,0,270,303,573
Region IV-A,Tanauan City,Tanauan City East II,301159,Tinurik National High School,"Tinurik, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,TINURIK,Public,DepED Managed,School with no Annexes,Purely JHS,148,141,161,178,117,136,158,154,0,0,0,628,565,1193
Region IV-A,Tanauan City,Tanauan City East II,321604,Dr. Alcantara National High School,"Mabini, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,MABINI,Public,DepED Managed,School with no Annexes,Purely JHS,34,21,46,37,32,40,40,29,0,0,0,138,141,279
Region IV-A,Tanauan City,Tanauan City East III,301089,Boot NHS,"Boot, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,BOOT,Public,DepED Managed,School with no Annexes,Purely JHS,74,59,83,97,58,73,76,76,0,0,0,313,283,596
Region IV-A,Tanauan City,Tanauan City East III,301163,Wawa NHS,"Wawa, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,WAWA,Public,DepED Managed,School with no Annexes,Purely JHS,19,23,24,19,22,22,11,23,0,0,0,85,78,163
Region IV-A,Tanauan City,Tanauan City South II,321603,Janopol Oriental National High School,"Janopol Oriental, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,JANOPOL ORIENTAL,Public,DepED Managed,School with no Annexes,Purely JHS,71,87,87,104,72,91,62,80,0,0,0,349,305,654
Region IV-A,Tanauan City,Tanauan City West II,301113,Luyos National High School,"Luyos, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,LUYOS,Public,DepED Managed,School with no Annexes,Purely JHS,84,97,93,92,73,101,88,80,0,0,0,366,342,708
Region IV-A,Tanauan City,Tanauan City West II,301119,Malaking Pulo National High School,"Legaspi Street Malaking Pulo, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,MALAKING PULO,Public,DepED Managed,School with no Annexes,Purely JHS,45,42,42,55,28,38,35,36,0,0,0,184,137,321
Region IV-A,Tanauan City,Tanauan City West II,301138,Pres. Jose P. Laurel National High School,"Sulpoc, Tanauan City, Batangas",BATANGAS,CITY OF TANAUAN,3rd District,SULPOC,Public,DepED Managed,School with no Annexes,Purely JHS,35,56,54,67,44,46,50,52,0,0,0,212,192,404
Region IV-A,Sta. Rosa City,City of Sta. Rosa District I,301225,Aplaya National High School Annex I APEX,Market Area,LAGUNA,CITY OF SANTA ROSA,1st District,MARKET AREA (POB.),Public,DepED Managed,Annex or Extension school(s),Purely JHS,444,496,546,520,389,459,500,476,0,0,0,2006,1824,3830
Region IV-A,Sta. Rosa City,City of Sta. Rosa District I,301260,Pulong Sta. Cruz NHS,Purok 2 Pulong Sta. Cruz,LAGUNA,CITY OF SANTA ROSA,1st District,PULONG SANTA CRUZ,Public,DepED Managed,School with no Annexes,Purely JHS,229,272,245,278,209,240,269,262,0,0,0,1024,980,2004
Region IV-A,Sta. Rosa City,City of Sta. Rosa District I,324001,Southville IV NHS,Phase II Southville IV,LAGUNA,CITY OF SANTA ROSA,1st District,CAINGIN,Public,DepED Managed,School with no Annexes,Purely JHS,303,373,330,387,281,362,349,398,0,0,0,1393,1390,2783
Region IV-A,Bacoor City,Bacoor I,301170,Mariano Gomes National High School,Tabing Dagat,CAVITE,BACOOR,2nd District,TABING DAGAT,Public,DepED Managed,School with no Annexes,Purely JHS,506,464,594,461,477,428,487,471,0,0,0,2025,1863,3888
Region IV-A,Bacoor City,Bacoor I,305686,City of Bacoor National High School - Salinas,Mercury St. Camella Homes 2D,CAVITE,BACOOR,2nd District,SALINAS II,Public,DepED Managed,School with no Annexes,Purely JHS,171,257,249,248,157,165,221,224,0,0,0,925,767,1692
Region IV-A,Bacoor City,Bacoor I,305688,City of Bacoor National High School - Springville,Camella West,CAVITE,BACOOR,2nd District,MOLINO III,Public,DepED Managed,School with no Annexes,Purely JHS,209,217,266,219,205,200,270,245,0,0,0,911,920,1831
Region IV-A,Bacoor City,Bacoor I,305689,Responsible Village Leaders Learning Academy (REVILLA) High School,Maliksi I,CAVITE,BACOOR,2nd District,MALIKSI I,Public,DepED Managed,School with no Annexes,Purely JHS,110,98,109,117,86,105,101,125,0,0,0,434,417,851
Region IV-A,Bacoor City,Bacoor II,301171,Bacoor National High School - Molino Main,Molino Rd.,CAVITE,BACOOR,2nd District,MOLINO I,Public,DepED Managed,Mother school,Purely JHS,700,827,928,910,685,758,936,835,43,41,84,3408,3255,6663
Region IV-A,Bacoor City,Bacoor II,301188,Eastern Bacoor National High School,Queen Aisle's St.,CAVITE,BACOOR,2nd District,QUEENS ROW CENTRAL,Public,DepED Managed,School with no Annexes,Purely JHS,376,351,368,341,327,339,332,331,0,0,0,1436,1329,2765
Region IV-A,Bacoor City,Bacoor II,305685,City of Bacoor National High School - Georgetown,11-B Lot Block 6 Aguinaldo St. Georgetown Heights Subdivision Ph. 1,CAVITE,BACOOR,2nd District,MOLINO IV,Public,DepED Managed,School with no Annexes,Purely JHS,323,328,323,339,293,329,331,345,0,0,0,1313,1298,2611
Region IV-A,Bacoor City,Bacoor II,305687,City of Bacoor National High School – San Nicolas,Garnet St.,CAVITE,BACOOR,2nd District,SAN NICOLAS III,Public,DepED Managed,School with no Annexes,Purely JHS,363,331,340,337,334,294,367,351,0,0,0,1371,1346,2717
Region IV-A,Bacoor City,Bacoor II,307803,Bacoor National High School - Gawaran Annex,San Lorenzo Ruiz,CAVITE,BACOOR,2nd District,MOLINO VII,Public,DepED Managed,Annex or Extension school(s),Purely JHS,123,138,181,147,133,163,157,164,0,0,0,589,617,1206
Region IV-A,Bacoor City,Bacoor II,307815,Bacoor National High School - Villa Maria Annex,9012 Emerald St. GSIS Rd. Villa Maria Subd. Brgy. Molino III,CAVITE,BACOOR,2nd District,MOLINO III,Public,DepED Managed,Annex or Extension school(s),Purely JHS,226,205,234,227,207,218,196,229,0,0,0,892,850,1742
Region IV-A,Imus City,Imus I,301190,Gen. Emilio Aguinaldo NHS (Imus),PALICO IV,CAVITE,IMUS,3rd District,PALICO IV,Public,DepED Managed,School with no Annexes,Purely JHS,883,1014,1012,1098,811,882,1041,1091,45,27,72,4052,3852,7904
Region IV-A,Imus City,Imus I,307811,General Licerio Topacio National High School,"B8 L21 P11-B, RICARTE ST.,",CAVITE,IMUS,3rd District,PASONG BUAYA II,Public,DepED Managed,School with no Annexes,Purely JHS,356,362,348,384,298,306,307,347,0,0,0,1450,1258,2708
Region IV-A,Imus City,Imus I,409136,"Del Rosario Christian Institute of Imus, Inc.",Blk 20 Lot 24-27 Phase 3 Malagasang II-A,CAVITE,IMUS,3rd District,MALAGASANG II-A,Private,Non-Sectarian ,School with no Annexes,Purely JHS,10,16,3,17,5,14,3,15,0,0,0,46,37,83
Region IV-A,Imus City,Imus I,410588,Ashtonville School Inc.,"9535 Carsadang Bago 2, Imus City",CAVITE,IMUS,3rd District,CARSADANG BAGO II,Private,Non-Sectarian ,School with no Annexes,Purely JHS,3,10,5,7,5,2,5,3,0,0,0,25,15,40
Region IV-A,Imus City,Imus II,301196,Imus NHS,Bucandala,CAVITE,IMUS,3rd District,BUCANDALA III,Public,DepED Managed,School with no Annexes,Purely JHS,1152,1330,1395,1504,1105,1299,1278,1430,0,0,0,5381,5112,10493
Region IV-A,Imus City,Imus II,307816,Hipolito Saquilayan National High School,"Bliss Site, Homer Homes",CAVITE,IMUS,3rd District,ALAPAN II-A,Public,DepED Managed,School with no Annexes,Purely JHS,128,145,136,147,94,117,154,99,0,0,0,556,464,1020
Region IV-A,Imus City,Imus II,307821,Gen. Tomas Mascardo National High School,Malagasang II-A,CAVITE,IMUS,3rd District,MALAGASANG II-A,Public,DepED Managed,School with no Annexes,Purely JHS,543,616,568,584,466,561,547,533,0,0,0,2311,2107,4418
Region IV-A,Binan City,Binan,301254,Nereo R. Joaquin National High School,St. Rose Village II,LAGUNA,CITY OF BIÑAN,1st District,CASILE,Public,DepED Managed,School with no Annexes,Purely JHS,139,125,188,149,136,111,158,157,0,0,0,601,562,1163
Region IV-A,Binan City,Binan,305900,Biñan City Science and Technology High School,Silmer Village,LAGUNA,CITY OF BIÑAN,1st District,SAN FRANCISCO (HALANG),Public,DepED Managed,School with no Annexes,Purely JHS,53,67,57,0,51,71,83,0,0,0,0,177,205,382
Region IV-A,Binan City,Binan,307901,Jacobo Z. Gonzales Memorial National High School,"-Romana Subd. San Antonio, Binan City",LAGUNA,CITY OF BIÑAN,1st District,SAN ANTONIO,Public,DepED Managed,School with no Annexes,Purely JHS,572,527,622,659,589,550,633,625,0,0,0,2380,2397,4777
Region IV-A,Binan City,Binan,307909,Binan Secondary School of Applied Academics (Main Campus),"Purok 3 Sto.Tomas, Binan, Laguna",LAGUNA,CITY OF BIÑAN,1st District,SANTO TOMAS (CALABUSO),Public,DepED Managed,School with no Annexes,Purely JHS,419,336,457,442,365,335,437,381,0,0,0,1654,1518,3172
Region IV-A,Binan City,Binan,307915,Dela Paz NHS (Binan NHS - Annex),Almeda Subd.,LAGUNA,CITY OF BIÑAN,1st District,DE LA PAZ,Public,DepED Managed,Annex or Extension school(s),Purely JHS,172,119,179,155,131,140,171,167,0,0,0,625,609,1234
Region IV-A,Binan City,Binan,307932,Mamplasan National High School,"Purok 2,Brgy. Mamplasan",LAGUNA,CITY OF BIÑAN,1st District,MAMPALASAN,Public,DepED Managed,School with no Annexes,Purely JHS,96,103,122,99,96,107,108,91,0,0,0,420,402,822
Region IV-A,Binan City,Binan,409098,Biñan SDA High School Inc.,"National Highway, San Vicente",LAGUNA,CITY OF BIÑAN,1st District,SAN VICENTE,Private,Non-Sectarian ,School with no Annexes,Purely JHS,9,7,14,12,12,7,11,7,0,0,0,42,37,79
Region IV-A,Cabuyao City,District I,408904,St. Clare of Assisi School of Cabuyao Inc.,"No. 1 Ipil St., Catindig Subdivision",LAGUNA,CABUYAO,2nd District,GULOD,Private,Non-Sectarian ,School with no Annexes,Purely JHS,2,0,1,4,2,1,2,6,0,0,0,7,11,18
Region IV-A,Cabuyao City,District I,410790,"Well of Wisdom Secondary Education of Cabuyao, Inc.","Blk 2 Lot 37 Ph 3, St. Joseph Village 7",LAGUNA,CABUYAO,2nd District,MARINIG,Private,Non-Sectarian ,School with no Annexes,Purely JHS,7,6,8,1,7,8,6,0,0,0,0,22,21,43
